,eventIdx,game_id,Game Seconds,Game Period,X-Coordinate,Y-Coordinate,Shot Distance,Shot Angle,Shot Type,Was Net Empty,Last Event Type,Last X-Coordinate,Last Y-Coordinate,Time from Last Event (seconds),Distance from Last Event,Is Rebound,Change in Shot Angle,Speed,Team Name,Is Goal,xG
0,8,2021020329,62,1,56,17,37.12142238654117,117.25532837494308,3,0,3,-76,9,18,132.24220203853233,0,0,7.346789002140685,Washington Capitals,0,0.005854294169694185
1,15,2021020329,110,1,-65,-10,26.0,112.61986494804043,3,0,0,99,-2,6,164.19500601419034,0,0,27.36583433569839,Carolina Hurricanes,0,0.004724663216620684
2,20,2021020329,170,1,78,16,19.4164878389476,145.4914770123316,3,0,4,-95,-3,9,174.04022523543227,0,0,19.33780280393692,Washington Capitals,0,0.007523943204432726
3,22,2021020329,202,1,84,-36,36.345563690772494,7.907162702958458,3,0,0,-13,33,7,119.03780911962384,0,0,17.005401302803406,Washington Capitals,0,0.0036129546351730824
4,26,2021020329,249,1,-39,8,50.635955604688654,80.90972307917768,3,0,4,13,5,7,52.08646657242167,0,0,7.440923796060239,Carolina Hurricanes,0,0.05910291522741318
5,35,2021020329,350,1,82,29,29.832867780352597,166.4295656148385,2,0,4,10,23,21,72.24956747275377,0,0,3.440455593940656,Washington Capitals,0,0.0026645937468856573
6,38,2021020329,385,1,-74,16,21.93171219946131,43.15238973400541,3,0,0,-80,-40,7,56.32051136131489,0,0,8.0457873373307,Carolina Hurricanes,0,0.11834441125392914
7,40,2021020329,417,1,-53,-26,44.40720662234904,125.8376529542783,0,0,0,-83,-25,20,30.01666203960727,0,0,1.5008331019803633,Carolina Hurricanes,0,0.0278460830450058
8,44,2021020329,457,1,-25,-17,66.21933252457322,104.8756820016388,3,0,0,-16,-38,7,22.847319317591726,0,0,3.2639027596559607,Carolina Hurricanes,0,0.002108363201841712
9,45,2021020329,471,1,55,-30,45.34313619501854,48.57633437499735,3,0,5,-25,-17,14,81.04936767180853,1,-56.29934762664144,5.789240547986323,Washington Capitals,0,0.0014299257891252637
10,54,2021020329,562,1,-47,-20,46.51881339845203,115.4633450618716,3,0,6,-41,29,41,49.36598018878993,0,0,1.2040482972875592,Carolina Hurricanes,0,0.03586047887802124
11,56,2021020329,568,1,-89,-13,178.4740877550576,85.82289303109779,0,0,6,-83,-7,4,8.48528137423857,0,0,2.1213203435596424,Washington Capitals,0,0.02562708593904972
12,60,2021020329,624,1,-64,32,40.607881008493905,37.99873244250467,2,0,1,-20,22,18,45.12205669071391,0,0,2.506780927261884,Carolina Hurricanes,0,0.006007151212543249
13,76,2021020329,792,1,-86,-10,10.44030650891055,163.30075576600638,3,0,0,-10,-39,21,81.34494452638098,0,0,3.873568786970523,Carolina Hurricanes,0,0.07508033514022827
14,92,2021020329,958,1,-77,15,19.209372712298546,38.659808254090095,0,0,6,-73,4,9,11.704699910719626,0,0,1.3005222123021807,Carolina Hurricanes,0,0.19581064581871033
15,94,2021020329,987,1,-34,-13,56.515484603779164,103.29857033049429,0,0,0,-66,40,5,61.91122676865643,0,0,12.382245353731285,Carolina Hurricanes,0,0.03030499815940857
16,106,2021020329,1135,1,65,10,26.0,112.61986494804043,3,0,0,93,-26,56,45.60701700396552,0,0,0.8144110179279557,Washington Capitals,0,0.09393848478794098
17,121,2021020329,1236,2,-76,5,13.92838827718412,68.96248897457819,0,0,1,-69,-22,27,27.892651361962706,0,0,1.0330611615541743,Washington Capitals,0,0.22243694961071014
18,124,2021020329,1258,2,54,2,35.05709628591621,93.27048792318355,3,0,1,-69,-22,18,125.31959144523253,0,0,6.962199524735141,Carolina Hurricanes,0,0.18166714906692505
19,127,2021020329,1364,2,-56,22,39.66106403010388,56.309932474020215,2,0,2,-33,40,9,29.206163733020468,0,0,3.245129303668941,Washington Capitals,0,0.0227541234344244
